Date,Open,High,Low,Close,Adj Close,Volume
2017-03-31,20700.33984375,20722.58984375,20660.6796875,20663.220703125,20663.220703125,303770000
2017-04-03,20665.169921875,20692.33984375,20517.8203125,20650.2109375,20650.2109375,285670000
2017-04-04,20634.939453125,20701.2890625,20605.30078125,20689.240234375,20689.240234375,237390000
2017-04-05,20745.060546875,20887.5,20639.55078125,20648.150390625,20648.150390625,284980000
2017-04-06,20653.76953125,20746.4609375,20612.169921875,20662.94921875,20662.94921875,251720000
2017-04-07,20647.810546875,20726.0703125,20606.94921875,20656.099609375,20656.099609375,219730000
2017-04-10,20668.220703125,20750.330078125,20614.859375,20658.01953125,20658.01953125,230480000
2017-04-11,20644.3203125,20660.029296875,20512.560546875,20651.30078125,20651.30078125,255120000
2017-04-12,20637.94921875,20642.5390625,20553.029296875,20591.859375,20591.859375,267670000
2017-04-13,20561.689453125,20612.26953125,20453.25,20453.25,20453.25,235810000
2017-04-17,20484.75,20644.41015625,20484.75,20636.919921875,20636.919921875,229240000
2017-04-18,20561.390625,20600.119140625,20462.279296875,20523.279296875,20523.279296875,263180000
2017-04-19,20503.51953125,20546.689453125,20379.55078125,20404.490234375,20404.490234375,294790000
2017-04-20,20406.6796875,20629.779296875,20406.6796875,20578.7109375,20578.7109375,312440000
2017-04-21,20578.099609375,20601.400390625,20505.330078125,20547.759765625,20547.759765625,369600000
2017-04-24,20723.58984375,20792.19921875,20723.58984375,20763.890625,20763.890625,342400000
2017-04-25,20915.509765625,21026.970703125,20909.380859375,20996.119140625,20996.119140625,348180000
2017-04-26,21009.94921875,21070.900390625,20972.26953125,20975.08984375,20975.08984375,328550000
2017-04-27,20991.119140625,21005.80078125,20935.80078125,20981.330078125,20981.330078125,305690000
2017-04-28,20987.390625,20987.759765625,20926.75,20940.509765625,20940.509765625,329990000
2017-05-01,20962.73046875,20976.619140625,20898.380859375,20913.4609375,20913.4609375,288160000
2017-05-02,20941.189453125,20960.919921875,20904.060546875,20949.890625,20949.890625,338810000
2017-05-03,20915.0,20972.740234375,20874.1796875,20957.900390625,20957.900390625,310920000
2017-05-04,20987.830078125,20990.7890625,20847.94921875,20951.470703125,20951.470703125,274720000
2017-05-05,20929.0390625,21006.939453125,20905.0,21006.939453125,21006.939453125,260960000
2017-05-08,20991.259765625,21017.890625,20971.05078125,21012.279296875,21012.279296875,276150000
2017-05-09,21022.279296875,21046.849609375,20938.0390625,20975.779296875,20975.779296875,273000000
2017-05-10,20958.490234375,20976.279296875,20884.150390625,20943.109375,20943.109375,283340000
2017-05-11,20925.720703125,20933.359375,20798.900390625,20919.419921875,20919.419921875,287680000
2017-05-12,20893.189453125,20916.099609375,20869.740234375,20896.609375,20896.609375,288500000
2017-05-15,20923.630859375,21000.830078125,20923.630859375,20981.939453125,20981.939453125,313170000
2017-05-16,20984.48046875,21033.529296875,20932.880859375,20979.75,20979.75,311580000
2017-05-17,20846.169921875,20846.169921875,20601.080078125,20606.9296875,20606.9296875,423200000
2017-05-18,20579.650390625,20759.19921875,20553.44921875,20663.01953125,20663.01953125,422590000
2017-05-19,20698.279296875,20857.130859375,20687.939453125,20804.83984375,20804.83984375,365180000
2017-05-22,20867.76953125,20914.259765625,20860.16015625,20894.830078125,20894.830078125,276120000
2017-05-23,20908.669921875,20961.140625,20896.220703125,20937.91015625,20937.91015625,244950000
2017-05-24,20949.2109375,21022.8203125,20933.580078125,21012.419921875,21012.419921875,283180000
2017-05-25,21062.9609375,21112.3203125,21051.41015625,21082.94921875,21082.94921875,268970000
2017-05-26,21070.150390625,21092.8203125,21050.490234375,21080.279296875,21080.279296875,208000000
2017-05-30,21045.490234375,21063.619140625,21009.599609375,21029.470703125,21029.470703125,242810000
2017-05-31,21048.4609375,21051.69921875,20942.5703125,21008.650390625,21008.650390625,371580000
2017-06-01,21030.55078125,21144.1796875,20994.220703125,21144.1796875,21144.1796875,276730000
2017-06-02,21142.08984375,21225.0390625,21129.560546875,21206.2890625,21206.2890625,329700000
2017-06-05,21195.029296875,21224.41015625,21168.689453125,21184.0390625,21184.0390625,269790000
2017-06-06,21145.48046875,21180.470703125,21118.4609375,21136.23046875,21136.23046875,283550000
2017-06-07,21171.5703125,21189.83984375,21113.310546875,21173.689453125,21173.689453125,273400000
2017-06-08,21169.759765625,21265.689453125,21138.16015625,21182.529296875,21182.529296875,330330000
2017-06-09,21208.9609375,21305.349609375,21159.44921875,21271.970703125,21271.970703125,397200000
2017-06-12,21259.94921875,21277.080078125,21186.150390625,21235.669921875,21235.669921875,528080000
2017-06-13,21256.830078125,21332.76953125,21256.830078125,21328.470703125,21328.470703125,323510000
2017-06-14,21342.7109375,21391.970703125,21294.08984375,21374.560546875,21374.560546875,295090000
2017-06-15,21291.689453125,21367.279296875,21261.869140625,21359.900390625,21359.900390625,317200000
2017-06-16,21335.9296875,21384.419921875,21308.009765625,21384.279296875,21384.279296875,603260000
2017-06-19,21444.75,21528.990234375,21436.080078125,21528.990234375,21528.990234375,289400000
2017-06-20,21521.25,21535.029296875,21464.240234375,21467.140625,21467.140625,310200000
2017-06-21,21466.390625,21492.619140625,21390.0,21410.029296875,21410.029296875,292500000
2017-06-22,21407.98046875,21456.470703125,21394.810546875,21397.2890625,21397.2890625,270680000
2017-06-23,21380.919921875,21421.7890625,21333.890625,21394.759765625,21394.759765625,368400000
2017-06-26,21434.6796875,21506.2109375,21381.25,21409.55078125,21409.55078125,241880000
2017-06-27,21411.189453125,21440.599609375,21310.66015625,21310.66015625,21310.66015625,292170000
2017-06-28,21372.359375,21478.75,21372.359375,21454.609375,21454.609375,271510000
2017-06-29,21487.380859375,21487.380859375,21197.080078125,21287.029296875,21287.029296875,336750000
2017-06-30,21348.599609375,21426.119140625,21325.080078125,21349.630859375,21349.630859375,313260000
2017-07-03,21392.30078125,21562.75,21391.7109375,21479.26953125,21479.26953125,186810000
2017-07-05,21492.830078125,21505.359375,21404.759765625,21478.169921875,21478.169921875,273690000
2017-07-06,21423.9296875,21433.099609375,21305.380859375,21320.0390625,21320.0390625,320450000
2017-07-07,21354.66015625,21425.8203125,21350.720703125,21414.33984375,21414.33984375,242240000
2017-07-10,21381.23046875,21446.390625,21371.109375,21408.51953125,21408.51953125,270340000
2017-07-11,21410.169921875,21441.619140625,21279.30078125,21409.0703125,21409.0703125,247570000
2017-07-12,21467.9296875,21580.7890625,21467.9296875,21532.140625,21532.140625,267870000
2017-07-13,21537.189453125,21568.720703125,21512.359375,21553.08984375,21553.08984375,232270000
2017-07-14,21532.76953125,21681.529296875,21521.720703125,21637.740234375,21637.740234375,235590000
2017-07-17,21633.970703125,21661.810546875,21617.66015625,21629.720703125,21629.720703125,244780000
2017-07-18,21589.939453125,21589.939453125,21471.140625,21574.73046875,21574.73046875,251110000
2017-07-19,21569.25,21640.75,21565.83984375,21640.75,21640.75,253040000
2017-07-20,21641.5390625,21661.91015625,21576.9609375,21611.779296875,21611.779296875,313950000
2017-07-21,21591.720703125,21592.609375,21503.779296875,21580.0703125,21580.0703125,362830000
2017-07-24,21577.779296875,21577.779296875,21496.130859375,21513.169921875,21513.169921875,284080000
2017-07-25,21638.560546875,21670.619140625,21577.369140625,21613.4296875,21613.4296875,304300000
2017-07-26,21690.380859375,21742.69921875,21683.2890625,21711.009765625,21711.009765625,278240000
2017-07-27,21717.419921875,21798.470703125,21687.849609375,21796.55078125,21796.55078125,407320000
2017-07-28,21787.509765625,21841.1796875,21756.119140625,21830.310546875,21830.310546875,285630000
2017-07-31,21863.390625,21929.80078125,21861.7109375,21891.119140625,21891.119140625,307610000
2017-08-01,21961.419921875,21990.9609375,21940.810546875,21963.919921875,21963.919921875,328410000
2017-08-02,22004.359375,22036.099609375,21967.4609375,22016.240234375,22016.240234375,336820000
2017-08-03,22007.580078125,22044.849609375,21991.3203125,22026.099609375,22026.099609375,278730000
